     78.12 1.940241e+03 7.358352e+02 1.524073e+03 1.443500e-02
    117.19 1.953761e+03 7.853403e+02 1.599690e+03 2.062900e-02
    156.25 2.001001e+03 8.266171e+02 1.676318e+03 2.624800e-02
    195.31 2.062706e+03 8.640055e+02 1.747863e+03 3.146700e-02
    292.97 2.154925e+03 9.364465e+02 1.865419e+03 4.422600e-02
    390.62 2.096304e+03 9.335325e+02 1.835750e+03 5.992100e-02
    781.25 2.107704e+03 9.526531e+02 1.871655e+03 1.175430e-01
   1562.50 2.139816e+03 9.827285e+02 1.918482e+03 2.293480e-01
   3125.00 2.173092e+03 1.005316e+03 1.958223e+03 4.493870e-01
   7812.50 2.134155e+03 9.965023e+02 1.930248e+03 1.139750e+00
  15625.00 2.150311e+03 1.003371e+03 1.946227e+03 2.260785e+00
  31250.00 2.142294e+03 1.004354e+03 1.941381e+03 4.532856e+00
  46875.00 2.075332e+03 9.944996e+02 1.888124e+03 6.991067e+00
  62500.00 2.073863e+03 9.745253e+02 1.880447e+03 9.359478e+00
 117187.50 2.051111e+03 9.066241e+02 1.839657e+03 1.793813e+01
