     78.12 2.044363e+03 7.020007e+02 1.571204e+03 1.400200e-02
    117.19 2.010050e+03 7.618080e+02 1.623776e+03 2.032300e-02
    156.25 1.936202e+03 7.311278e+02 1.581823e+03 2.781600e-02
    195.31 2.000720e+03 7.698229e+02 1.663290e+03 3.306700e-02
    292.97 2.062706e+03 6.797172e+02 1.680381e+03 4.909600e-02
    390.62 2.106017e+03 6.737183e+02 1.717194e+03 6.405800e-02
    781.25 2.154012e+03 7.397270e+02 1.809702e+03 1.215670e-01
   1562.50 2.074011e+03 7.664010e+02 1.782257e+03 2.468780e-01
   3125.00 2.118341e+03 8.018362e+02 1.836325e+03 4.792180e-01
   7812.50 2.160508e+03 8.407282e+02 1.887868e+03 1.165336e+00
  15625.00 2.149449e+03 8.430672e+02 1.882622e+03 2.337166e+00
  31250.00 2.037328e+03 4.976619e+02 1.589161e+03 5.537512e+00
  46875.00 2.049615e+03 3.041937e+02 1.346574e+03 9.802656e+00
  62500.00 2.027953e+03 2.953591e+02 1.322264e+03 1.331050e+01
 117187.50 2.023932e+03 2.945655e+02 1.319436e+03 2.501069e+01
